user_id,business_id,text,date,compliment_count
AGNUgVwnZUey3gcPCJ76iw,3uLgwr0qeCNMjKenHJwPGQ,Avengers time with the ladies.,2012-05-18 02:17:21,0
NBN4MgHP9D3cw--SnauTkA,QoezRbYQncpRqyrLH6Iqjg,They have lots of good deserts and tasty cuban sandwiches,2013-02-05 18:35:10,0
-copOvldyKh1qr-vzkDEvw,MYoRNLb5chwjQe3c_k37Gg,It's open even when you think it isn't,2013-08-18 00:56:08,0
FjMQVZjSqY8syIO-53KFKw,hV-bABTK-glh5wj31ps_Jw,Very decent fried chicken,2017-06-27 23:05:38,0
ld0AperBXk1h6UbqmM80zw,_uN0OudeJ3Zl_tf6nxg5ww,Appetizers.. platter special for lunch,2012-10-06 19:43:09,0
trf3Qcz8qvCDKXiTgjUcEg,7Rm9Ba50bw23KTA8RedZYg,"Chili Cup + Single Cheeseburger with onion, pickle, and relish + Vanilla Coca-Cola...so far.",2012-03-13 04:00:52,0
SMGAlRjyfuYu-c-22zIyOg,kH-0iXqkL7b8UXNpguBMKg,"Saturday, Dec 7th 2013, ride Patco's Silver Sleigh w/ Santa & his elves on a decorated train into Center City. Trains leave from Lindenwold at 10am, 11:15am, & 12:30pm, and make all stops. Great for kids!",2013-12-03 23:42:15,0
YVBB9g23nuVJ0u44zK0pSA,jtri188kuhe_AuEOJ51U_A,This is probably the best place in the cool Springs area to watch a game and eat,2016-11-22 22:14:58,0
VL12EhEdT4OWqGq0nIqkzw,xODBZmX4EmlVvbqtKN7YKg,Tacos,2012-07-27 01:48:24,0
4ay-fdVks5WMerYL_htkGQ,pICJRcyqW1cF96Q3XhLSbw,Starbucks substitute in boring downtown Tampa. Ugh. Never again!,2012-06-09 22:57:04,0
OttfcRxgRrYsTg9EV5Aozg,clwjLY7PdYJpe7IP9lrqEw,Order the Tortilla Soup,2014-06-17 01:20:14,0
JsXhBw6MntzTJjH_Ue5udw,wLHodvVFLTgK3nl2XG8OCw,Very good will definitely be coming back!!,2017-03-23 22:01:41,0
Y0JfJh4B-jrtGc_AHfWi6w,wUMuvdUeVZODZk7TjaD2jg,If the Hotlight is on you must stop in.,2013-02-28 02:05:54,0
MlnuJ7T14CE0JDK2ZIOx5g,MDr7KLYSPkEonvGojNEMBw,Let's go Yankees!,2011-07-20 21:52:57,0
ffWWVlmsrN5lZ6sjAE-vTw,aK6R2akvIK9ijw3FvDy8vw,Basically same food as rally's for $5 more,2014-06-12 17:34:20,0
j2sEA3hiUcwHfq9Ml6M47g,EXYbKA1tocvOK_1tXxZXLA,Don't go for dinner. They close at 6. Really Yvonne L? Negative stars for a restaurant where you you didn't and never intended to eat?,2011-10-13 03:15:15,0
jsaN4TDygu76AGTiB3PpBA,H9fkf4Xkj_j7Zxs1FmY58Q,30 mins for take out. Right right tight,2012-03-11 23:16:12,0
kjFgyrCvmVVGSlgWzRXILw,ReX09lhufLTAx19krkltDA,"Got the grilled chicken entree. It was delicious but was a small portion. I like the environment here, for sure, though.",2013-06-10 20:18:41,0
I6aRZ4sE7ixv0_2r3-XvGw,c5nLy7YgXG-IIrOmqJv1nA,This is the bomb ! I love this dish. Try it you'll like it !lol,2016-04-23 02:44:03,0
Ll5l4WTKPH7zWQWA68Rhdw,LJaR65ALpz261_dlVWqV2g,Helping Mona find a new phone.,2012-06-02 14:39:28,0
FQ-zmWPEG_pjSQx6pt3Efw,3ZynJ94VpIdDlaArmEp2Rg,"Yes, I'm eating here again. Breakfast!",2012-10-12 15:16:13,0
1viszljzsa8W7VnYPuWosw,Zg83olSjsdXAhE5EEy5IcQ,Order crispy and they bake it up good.,2018-04-01 01:40:12,0
phKNHTaokisQkZ7qQbxryA,pWuoHHu0LuVrD0HjadDygg,Crepes please!!!,2010-11-21 20:52:49,0
Ba1I_wRHRQzvuyFU4PwPrw,ZhCnKe7U1TsHWnAlXl8Isw,The pimento cheese tastes great and is a large portion for a starter - great for sharing!  The fried pickles are also awesome!,2016-05-02 17:59:57,0
tA1U-XSh9woo73eQmWGyAQ,xHwvbm1SJwtaZtOZzFQcmQ,"If you haven't  been here in a good while or if you are used to the same place on the west coast called, Carl Jr. (both are applicable to me), please don't  come here for the turkey burger.  It is no longer on the menu.",2016-06-11 23:18:23,1
bjX58cooXPxdNfR0GZ6r9Q,M1hsyjJDdQQeNP164FJ1pA,Everything is yummy!,2013-08-19 18:25:30,0
VQro7KJpsspqEO68ilIJAw,FpwmIq3Gpo6hGIrOOv8lTw,Allow yourself time to wait on your food,2016-01-11 04:07:33,0
BC2LVfzoizlY4kJPzi_13Q,tkDs-InBqql7rqlAan97vA,"Looks like mini burgers, similar to white castle",2012-07-28 14:35:32,0
CozGguiwx7JEVk7cAwdvpA,ghsaIqQ1xY3cWtWWJ4QW5w,Icky on tap,2010-12-27 20:38:49,0
e67fm29pOiQUcPSltCAHVA,vaYy-IWyfh1ILji0l2TpzQ,Great breakfast buffet open to the public also ;),2016-08-01 12:15:51,0
jDThlALkraoQLLBYHqY7FQ,9DJhhBqQSu-gTBwaqdhgpQ,Come early for the best service as they fill up really quickly.,2016-01-16 19:13:57,0
fjpoZaeM1QRueYLl9FSLiQ,8YJtf5v76SIz-4udyF4YmA,This place had great coffee but the owner sold it so it not there anymore.,2017-09-23 16:08:24,0
M0Hgcpkd5MxOaxLB3ELhXA,IiJ744MOUKmRYAgNFkcs0g,Great Pancakes!!!!!!,2014-04-05 15:47:36,0
